Startup Name,Industry,Revenue (USD),Revenue Growth (%),Monthly Active Users,User Growth Rate (%),CAC (USD),LTV (USD),Burn Rate (USD/month),Cash Runway (months),TAM (USD),Team Size,Funding Stage,Valuation (USD)
Startup001,SaaS,4128731,149,87681,17,241,3074,332428,6,81946269312,39,Seed,24466368
Startup002,Greentech,2428312,115,143691,18,490,2464,96519,24,71223892797,37,Pre-Seed,96641650
Startup003,Greentech,1478230,32,156520,7,165,849,996255,24,25765873614,97,Series A,38460951
Startup004,Healthtech,7815497,190,434808,39,380,2641,340129,15,8777057441,37,Series A,56139309
Startup005,Fintech,1102665,88,260269,10,179,7657,731477,18,39626814884,83,Pre-Seed,14977950
Startup006,Edtech,8237836,166,241154,21,325,7499,174479,15,29745038923,67,Pre-Seed,20358857
Startup007,Healthtech,8759429,104,422045,48,168,7981,658169,6,93431242668,36,Series A,32539828
Startup008,SaaS,829154,101,397531,11,222,1091,360374,18,91916910218,60,Seed,5583189
Startup009,E-commerce,1407511,160,279475,26,132,8789,568759,18,92147511979,85,Series A,69726989
Startup010,Edtech,9537494,90,6260,47,203,4939,469938,8,74687986994,81,Seed,41355616
Startup011,Greentech,8532430,108,224358,44,348,6776,971827,20,77622122817,94,Series A,38738433
Startup012,Fintech,6250700,97,6529,36,287,7594,417390,9,29724899725,11,Series A,27176786
Startup013,Fintech,3724569,135,321492,34,268,4323,397650,24,5077868049,32,Pre-Seed,24088373
Startup014,Healthtech,6631998,123,402840,13,340,8340,679098,14,25552813111,30,Seed,53897855
Startup015,Healthtech,947022,129,148129,15,421,6589,821301,22,70766649817,9,Series A,5442240
Startup016,Edtech,7214435,156,403033,49,471,2757,565532,13,91162244816,19,Pre-Seed,98896036
Startup017,Fintech,3691598,160,483134,15,308,7155,228629,19,84126092746,30,Seed,30678892
Startup018,Edtech,5845842,112,10054,19,118,9047,878319,7,1020223333,46,Series A,3047633
Startup019,Greentech,5582016,126,463673,42,458,1710,39129,10,2940382686,89,Series A,67543944
Startup020,Greentech,4558149,92,250342,47,357,7558,682745,17,43761195700,25,Pre-Seed,79592665
Startup021,Edtech,4350739,156,164545,5,107,5042,333900,6,8649006771,56,Pre-Seed,17887422
Startup022,Greentech,8162641,84,156825,37,154,1071,460881,14,33528834385,18,Series A,95464476
Startup023,Greentech,6060706,145,77206,17,177,3565,231217,6,26262336062,19,Seed,47195098
Startup024,Edtech,5837466,172,206354,18,424,5731,307807,10,51436162104,27,Pre-Seed,85656390
Startup025,Fintech,3274534,13,436454,44,108,6909,879260,13,71674977908,22,Series A,89124904
Startup026,E-commerce,286854,56,404052,26,411,9260,641315,17,52297689594,86,Seed,31342960
Startup027,Edtech,3714705,20,401478,13,214,5710,148187,7,20804327979,87,Seed,41532649
Startup028,E-commerce,4822103,145,217880,27,365,6623,978493,6,73642915164,58,Seed,72482909
Startup029,Fintech,834961,150,59579,49,422,3889,653064,10,48943527601,32,Series A,45369414
Startup030,Fintech,4809522,108,386413,47,394,516,43835,16,89866541779,63,Series A,72924418
Startup031,Healthtech,1144859,86,209295,48,232,5904,425622,6,98532372764,7,Pre-Seed,74484512
Startup032,Edtech,2933870,10,182509,34,185,3503,777643,24,11559157945,16,Series A,19575680
Startup033,Healthtech,823286,165,71735,8,182,7541,235077,21,56739997934,93,Pre-Seed,3715392
Startup034,Healthtech,1955033,152,285269,5,103,3811,576847,14,7820949842,77,Seed,54500102
Startup035,SaaS,2338925,15,45054,29,200,3633,641880,7,17028583262,20,Seed,23934946
Startup036,Fintech,3237038,177,407085,13,200,7589,799710,6,43122362594,95,Pre-Seed,24501885
Startup037,Healthtech,7441609,41,315628,44,214,2108,98635,8,70466217279,30,Pre-Seed,63975683
Startup038,E-commerce,4523356,113,288313,5,167,5567,398606,10,31005557855,70,Series A,55626059
Startup039,Healthtech,1061995,153,424212,25,174,7331,881475,8,95076554831,7,Pre-Seed,63045828
Startup040,Healthtech,5177820,81,418366,28,123,916,670082,24,13646076930,25,Pre-Seed,58463586
Startup041,Edtech,8930043,84,375808,23,419,2400,564323,17,13097292901,56,Seed,5582174
Startup042,Fintech,6327924,190,288267,30,77,4627,473436,19,65723327682,28,Pre-Seed,33286889
Startup043,Edtech,9316426,105,262395,44,286,3166,570620,11,47453764241,38,Pre-Seed,82126434
Startup044,Edtech,1822948,18,298606,13,381,7560,486068,24,5707142702,95,Seed,31415561
Startup045,Edtech,7695667,35,406717,6,443,8391,792170,22,75979491676,88,Seed,88047069
Startup046,E-commerce,944476,185,64151,25,245,6867,491640,22,17712561564,14,Seed,30464079
Startup047,Greentech,7248186,159,166080,34,445,7839,321093,16,97752164017,95,Seed,12763198
Startup048,Fintech,2394252,68,260198,6,142,4915,799396,15,9473312533,12,Series A,36909158
Startup049,SaaS,8701093,165,55067,50,236,7881,686158,21,59459182989,56,Seed,26758962
Startup050,Healthtech,6795234,24,172421,34,248,633,951251,14,46283087474,13,Series A,95339862
Startup051,Edtech,7194371,65,391763,20,322,1629,362408,12,90871014469,73,Pre-Seed,11977770
Startup052,Healthtech,349499,150,159437,14,470,7074,555890,12,96790354762,9,Seed,68896903
Startup053,SaaS,7556525,184,213252,37,255,2136,622918,10,18305201911,39,Seed,91002371
Startup054,Edtech,5215333,159,124372,33,243,1996,57295,8,56038341837,97,Seed,10798455
Startup055,Greentech,6144275,125,344464,22,367,2471,107201,18,77039912542,66,Seed,64906706
Startup056,Healthtech,2040782,187,10908,42,464,7136,141458,21,33454344321,32,Pre-Seed,32562637
Startup057,E-commerce,6495223,82,268974,7,477,1195,713333,19,52402966175,7,Pre-Seed,61398474
Startup058,Edtech,9998127,126,153734,33,350,9680,941429,18,71495838023,6,Seed,25304863
Startup059,E-commerce,6215352,97,138002,50,284,1118,236980,10,91805087950,28,Seed,91573833
Startup060,Healthtech,9396737,186,350671,21,171,8090,70407,11,51252508236,59,Series A,66363591
Startup061,Edtech,305261,46,417919,50,337,3585,838657,10,18446760589,42,Series A,4916032
Startup062,Greentech,2395369,68,369084,8,240,3347,716789,8,43214157703,90,Series A,95558905
Startup063,Fintech,7587573,166,26813,29,183,4586,626625,8,15531646645,85,Pre-Seed,94763755
Startup064,Greentech,5965019,106,150320,45,87,3751,681368,17,55494751022,44,Pre-Seed,24446234
Startup065,Greentech,1215451,62,149514,41,110,6869,92428,18,10315057301,92,Seed,41643348
Startup066,Healthtech,7560193,16,410762,27,491,3918,807684,11,56197233717,63,Seed,60201975
Startup067,E-commerce,6268977,81,309366,19,245,6182,528205,11,40165549983,37,Series A,4472826
Startup068,E-commerce,6786481,42,32720,15,306,2453,435052,7,42575846502,84,Seed,92470145
Startup069,Greentech,280207,197,252297,20,490,685,232658,20,10004524569,50,Series A,88713823
Startup070,Fintech,6043185,49,429741,47,52,4536,922441,23,94522672977,25,Series A,41801008
Startup071,Healthtech,3217291,158,462103,41,167,7754,98059,15,10745546991,84,Series A,7833299
Startup072,Greentech,7395170,49,381598,46,324,6991,551427,19,27943732110,17,Pre-Seed,94351229
Startup073,Greentech,2133525,166,278012,39,249,737,779779,17,97327291981,61,Seed,18049136
Startup074,Edtech,4993130,168,266881,30,345,3910,321714,14,21829021104,94,Series A,26380951
Startup075,Fintech,652532,200,242596,8,308,7758,521359,18,69958935918,85,Pre-Seed,39269585
Startup076,SaaS,4211834,30,181045,40,331,2253,582353,19,86864733942,23,Pre-Seed,88394176
Startup077,Healthtech,7721889,12,37894,39,98,4744,360153,17,60678172494,12,Pre-Seed,93599728
Startup078,Fintech,465467,63,11611,48,482,822,904563,8,64576157499,5,Series A,55821647
Startup079,E-commerce,5521470,97,429359,47,394,9800,243898,19,47854344022,72,Series A,26940895
Startup080,Fintech,1411610,197,303133,34,428,7730,321652,10,99460061416,22,Pre-Seed,53618660
Startup081,Healthtech,5497659,161,364200,14,236,4291,135700,22,20678360730,40,Pre-Seed,26074769
Startup082,SaaS,9814472,96,306644,17,300,677,662333,20,51071874769,28,Pre-Seed,24499430
Startup083,E-commerce,5625727,179,489130,8,195,7901,830704,24,58729305891,84,Series A,45680976
Startup084,Edtech,3178980,16,399777,35,362,9990,641626,17,61950365931,84,Series A,69581881
Startup085,E-commerce,8183328,86,481896,50,213,9584,482075,10,92045145405,91,Seed,11775567
Startup086,E-commerce,8263817,40,298173,43,251,4047,109187,20,99809141649,80,Series A,32547916
Startup087,Edtech,1241820,108,87555,45,385,5732,265316,8,56378298458,87,Seed,63303990
Startup088,E-commerce,2017396,22,311178,48,84,2304,648967,21,8855485096,71,Seed,31418224
Startup089,SaaS,9680787,32,393488,27,77,1611,633300,11,81771117191,17,Pre-Seed,66853893
Startup090,Fintech,7117063,70,148651,17,230,9596,737217,18,61770949289,10,Seed,49099810
Startup091,Edtech,7993154,24,140005,19,95,1487,867586,8,31745043194,81,Series A,72639982
Startup092,Healthtech,5799141,94,16489,10,421,571,943729,9,22607344138,29,Series A,41949870
Startup093,Greentech,7153268,22,223485,43,297,2791,185230,13,12766574741,62,Seed,7628964
Startup094,Greentech,2371543,104,362111,48,314,996,706575,23,81934703104,15,Pre-Seed,4781954
Startup095,Fintech,1858309,47,137002,8,55,3189,463023,18,17687052452,93,Series A,37607604
Startup096,E-commerce,3986897,92,401202,32,54,4684,745505,9,94662858519,60,Pre-Seed,76004625
Startup097,Greentech,6100397,190,95043,46,240,4385,200571,13,57355983250,94,Pre-Seed,49290768
Startup098,Fintech,2076535,114,241761,34,57,1463,480045,8,58255461320,7,Pre-Seed,84675261
Startup099,Healthtech,4933571,139,30209,6,156,1384,46261,17,74829858739,25,Series A,78268078
Startup100,Edtech,3225481,92,112525,14,107,8961,234688,19,10869731223,72,Pre-Seed,49048607
Startup101,E-commerce,6975995,95,440087,33,215,8481,572531,19,37108457999,9,Seed,49800319
Startup102,E-commerce,1613716,10,92426,21,420,7781,962206,19,72582955768,62,Seed,1530160
Startup103,Fintech,2174034,77,189727,33,440,4176,525864,7,59382172507,29,Seed,97996018
Startup104,Edtech,391875,51,36157,35,215,3093,680127,23,8834883165,46,Pre-Seed,40592302
Startup105,Fintech,3888293,145,172556,38,325,7149,554397,10,27668811272,61,Seed,45097527
Startup106,Fintech,6388412,81,265046,44,131,1605,588555,9,5868703033,31,Series A,81081725
Startup107,Greentech,7926324,176,258780,18,457,3667,89337,22,32035134461,41,Pre-Seed,64242760
Startup108,SaaS,1611016,65,152523,21,237,2342,848369,14,12977393254,60,Seed,61164693
Startup109,SaaS,5395514,55,365775,18,165,1882,609293,8,37081510647,30,Pre-Seed,48096995
Startup110,Fintech,8755859,42,241200,47,351,9225,330007,14,94312047375,42,Seed,5467859
Startup111,SaaS,9536962,156,14045,29,401,2326,965297,14,98186539556,30,Series A,57565725
Startup112,SaaS,4805364,78,395467,29,314,4932,387238,20,10183212926,53,Series A,37458539
Startup113,Greentech,5739392,145,398477,50,474,999,264295,20,55784609368,80,Seed,76737732
Startup114,Fintech,158530,79,214538,8,130,5676,547389,8,54046325441,86,Series A,93200113
Startup115,SaaS,955350,168,201537,50,272,7560,369837,10,87615366115,43,Pre-Seed,33918787
Startup116,Greentech,4251317,101,198613,25,113,7696,687584,24,66712026002,29,Pre-Seed,83149814
Startup117,E-commerce,8715406,183,215041,27,406,9794,980182,24,26215435998,89,Pre-Seed,92487934
Startup118,SaaS,7916465,123,213181,37,444,5627,879677,24,73489874803,5,Seed,42855471
Startup119,Greentech,5256455,37,439409,14,90,4076,257375,9,60739874261,63,Pre-Seed,1323606
Startup120,E-commerce,9534659,143,271834,16,491,3167,181324,9,19556042959,69,Pre-Seed,74478512
Startup121,SaaS,8186974,183,272357,27,212,1048,834080,18,20830782952,96,Seed,39756706
Startup122,Healthtech,9175742,74,46939,46,81,9716,674125,7,76839544648,83,Pre-Seed,69181157
Startup123,Fintech,3006202,39,431051,42,224,759,448405,20,93127933857,19,Pre-Seed,46815423
Startup124,Healthtech,7883253,168,52914,46,56,547,177246,11,72429362682,18,Series A,13900878
Startup125,Healthtech,4675891,64,261854,17,232,9476,179149,22,95673635437,83,Pre-Seed,71179134
Startup126,SaaS,9002927,29,10540,16,469,3787,584888,19,73908931539,59,Seed,23268304
Startup127,Edtech,1218110,200,30344,25,450,9834,339647,23,56806005770,65,Seed,58192379
Startup128,Greentech,4790451,63,122749,19,356,3575,324486,24,67191371537,97,Pre-Seed,23339277
Startup129,E-commerce,5314817,46,263267,11,154,5401,276045,22,90447796165,24,Seed,13947187
Startup130,Healthtech,8526949,53,384417,18,358,3083,725409,24,2268786530,75,Pre-Seed,30095975
Startup131,Greentech,562859,180,182174,13,366,7921,906028,12,46587255279,38,Series A,9087745
Startup132,Greentech,6097288,63,366356,22,493,8299,356229,10,93217440521,21,Pre-Seed,11508090
Startup133,Edtech,2968639,131,180900,36,60,9438,573356,22,85545639517,44,Series A,86841034
Startup134,Edtech,4464658,174,313326,38,94,5249,287556,14,55635536197,85,Series A,43123259
Startup135,E-commerce,8570807,67,412674,35,198,772,577208,16,95280399448,19,Series A,7887312
Startup136,SaaS,3643152,30,227313,9,369,8724,25500,9,79212356129,52,Seed,49426156
Startup137,SaaS,400195,20,398562,31,499,3744,917881,11,70493065407,34,Seed,54253413
Startup138,Edtech,3766931,135,420547,39,51,5475,305871,23,89302377715,67,Seed,27612558
Startup139,SaaS,5797991,140,197405,31,467,7322,198215,9,89110166012,24,Series A,5430933
Startup140,SaaS,4377177,115,52733,18,144,1751,156372,16,42407911465,77,Seed,77841891
Startup141,Greentech,288202,27,221419,37,185,1264,736051,10,14954815167,62,Seed,43457282
Startup142,Fintech,9574698,51,43149,33,362,1808,22095,16,68366368181,61,Seed,48934897
Startup143,Healthtech,2518398,105,103719,11,415,1852,475461,6,21788492199,49,Pre-Seed,29418380
Startup144,Edtech,4240595,96,7613,30,385,6606,541274,7,98490143579,8,Seed,24514591
Startup145,Greentech,9934034,159,117297,5,277,9450,693066,24,42091725615,86,Series A,83825102
Startup146,E-commerce,5652734,164,342791,37,334,8408,643294,21,27878627366,84,Pre-Seed,88282880
Startup147,Edtech,6515617,148,153434,9,140,3777,985217,6,95366918680,83,Series A,54683815
Startup148,Healthtech,6491074,19,370643,27,433,4804,775952,12,96066520357,91,Series A,84954325
Startup149,SaaS,3112817,69,78163,26,360,2238,829057,13,97088790881,20,Series A,46015404
Startup150,SaaS,4279752,159,213766,14,171,1069,407361,12,6684435328,93,Series A,71084725
Startup151,Edtech,7480853,133,298185,9,437,2902,27237,9,61548388183,66,Series A,6985747
Startup152,Greentech,6068209,193,274882,11,360,5700,490342,9,25893275449,88,Pre-Seed,25825361
Startup153,SaaS,3832802,115,158383,34,388,3576,464758,17,97102542848,99,Series A,14128129
Startup154,E-commerce,7497025,96,331415,42,107,5431,742162,21,69158851393,87,Pre-Seed,17871998
Startup155,Greentech,5231557,69,69176,8,310,7754,448834,13,89160126606,44,Series A,29952297
Startup156,Fintech,4029922,143,284098,17,354,6369,894819,6,82500496943,30,Seed,44886535
Startup157,SaaS,5374732,146,302052,5,466,1603,756007,21,96908088540,12,Seed,28007109
Startup158,Fintech,7464981,46,53512,36,218,7198,411946,17,84758538868,64,Series A,68803695
Startup159,E-commerce,9033515,172,314314,32,485,4206,626020,7,81484420267,84,Seed,57952840
Startup160,E-commerce,7750277,55,312102,22,321,4369,199871,23,73009112560,50,Series A,88061952
Startup161,Edtech,1487458,69,170475,9,414,8303,137265,18,66890764759,63,Series A,14235301
Startup162,SaaS,9563744,49,319816,48,327,1060,122253,12,74268156243,82,Seed,92376259
Startup163,SaaS,102229,65,492462,25,95,7099,587772,10,52039152075,34,Pre-Seed,56877213
Startup164,E-commerce,4525415,178,422960,12,85,7091,541348,21,4237062338,97,Series A,37828965
Startup165,Fintech,3189416,21,284458,17,485,7238,294258,18,30190247697,49,Pre-Seed,86828849
Startup166,E-commerce,2172191,34,246106,20,250,8014,167169,19,22606962523,72,Pre-Seed,40413151
Startup167,E-commerce,4690627,59,201810,30,120,9241,915104,9,29962995907,75,Series A,16794609
Startup168,Greentech,9129044,138,473717,17,90,6645,801181,11,3698110979,66,Series A,18397147
Startup169,E-commerce,9991699,149,86898,26,421,5717,675592,18,99086323337,58,Pre-Seed,9855917
Startup170,Greentech,279815,157,485845,41,477,4786,241814,17,59432720530,90,Seed,61106193
Startup171,SaaS,8985801,14,478495,13,282,4509,211280,9,93259595334,49,Series A,39821841
Startup172,SaaS,5080213,48,53141,23,235,7954,202067,11,66303123381,19,Seed,46550431
Startup173,Healthtech,5787014,61,349659,24,417,1724,771492,10,66956605999,32,Series A,21507816
Startup174,E-commerce,4027619,86,262967,32,471,1774,814890,11,32110588854,45,Series A,13224153
Startup175,Healthtech,1642453,53,385349,32,54,3491,254960,21,67885785269,27,Series A,46131840
Startup176,SaaS,4350916,39,484433,22,258,3836,962732,8,52369712834,11,Pre-Seed,71997115
Startup177,Greentech,4392026,44,455523,48,341,7502,955694,14,5443381518,88,Pre-Seed,78379409
Startup178,E-commerce,2838357,182,385772,39,478,9025,163931,6,56671338168,19,Seed,58646992
Startup179,Edtech,1668416,88,185209,16,481,9324,911500,9,68586554509,20,Series A,4165953
Startup180,Healthtech,781524,104,338040,27,416,2504,253693,11,5040037402,78,Seed,68372590
Startup181,SaaS,2562300,193,481309,50,403,8020,51075,22,94620668971,43,Pre-Seed,47117782
Startup182,Greentech,8886709,154,465917,11,275,3281,626046,15,73612027149,96,Series A,93692770
Startup183,Fintech,7309825,138,452129,20,235,7227,486932,18,25890281286,49,Series A,25515698
Startup184,Healthtech,6491102,35,26841,30,349,1439,861893,17,54877899311,25,Seed,11886026
Startup185,E-commerce,5604986,104,165510,44,211,2156,816262,7,22778906036,48,Pre-Seed,41280514
Startup186,Fintech,2591400,69,435441,49,409,4593,74136,6,57027359215,38,Seed,60480278
Startup187,SaaS,1103664,32,3756,40,307,1748,224708,8,55665280314,62,Pre-Seed,39409517
Startup188,Greentech,4289206,30,100361,25,188,7006,819083,22,39366349230,38,Series A,99405095
Startup189,E-commerce,8981974,105,79981,14,150,1277,589699,6,68555100199,89,Series A,65801407
Startup190,SaaS,8825053,56,263603,41,361,9391,217123,14,22049097345,55,Pre-Seed,84714434
Startup191,E-commerce,4758374,23,227939,10,482,7340,255122,24,40620700179,65,Pre-Seed,74671074
Startup192,Edtech,7843129,154,465952,27,415,551,11731,22,24424605337,68,Seed,68135765
Startup193,Healthtech,3722089,107,307829,20,377,5210,23032,19,36625862200,12,Series A,26421833
Startup194,E-commerce,3047285,76,287684,35,71,4450,828530,21,93404278875,63,Series A,89120044
Startup195,Edtech,4880985,113,240829,16,157,3838,210342,19,83409244755,16,Seed,71472833
Startup196,E-commerce,2896227,92,310446,49,366,2250,755653,21,21399181784,35,Seed,39738609
Startup197,SaaS,8957525,45,253469,13,259,2160,116203,16,67972473803,6,Seed,40335143
Startup198,SaaS,4994801,69,39387,37,381,3871,694404,9,97816337766,47,Pre-Seed,77869091
Startup199,E-commerce,3678679,197,293994,19,264,7182,193367,13,20029718089,61,Series A,61440827
Startup200,Greentech,8365917,191,447155,8,417,1167,60344,16,67830670649,84,Pre-Seed,72159000
